index, i0, i1,i2, i3, Q
0, 0, 0, 0, 0, -0.987207009873404
1, 0, 0, 0, 1, -0.9741887983898272
2, 0, 0, 0, 2, -0.9638091815159112
3, 0, 0, 0, 3, 0.0
4, 0, 0, 1, 0, 0.0
5, 0, 0, 1, 1, 0.0
6, 0, 0, 1, 2, 0.0
7, 0, 0, 1, 3, 0.0
8, 0, 0, 2, 0, 0.0
9, 0, 0, 2, 1, 0.0
10, 0, 0, 2, 2, 0.0
11, 0, 0, 2, 3, -1.5916357959772165
12, 0, 1, 0, 0, -1.5896046814424734
13, 0, 1, 0, 1, -1.6217537177256238
14, 0, 1, 0, 2, -1.5875350387270153
15, 0, 1, 0, 3, 0.0
16, 0, 1, 1, 0, 0.0
17, 0, 1, 1, 1, 0.0
18, 0, 1, 1, 2, 0.0
19, 0, 1, 1, 3, 0.0
20, 0, 1, 2, 0, 0.0
21, 0, 1, 2, 1, 0.0
22, 0, 1, 2, 2, 0.0
23, 0, 1, 2, 3, -0.417742061
24, 0, 2, 0, 0, -0.4224814057478303
25, 0, 2, 0, 1, -0.417742061
26, 0, 2, 0, 2, 5.46364826794399
27, 0, 2, 0, 3, 0.0
28, 0, 2, 1, 0, 0.0
29, 0, 2, 1, 1, 0.0
30, 0, 2, 1, 2, 0.0
31, 0, 2, 1, 3, -0.1
32, 0, 2, 2, 0, -0.10862666757347078
33, 0, 2, 2, 1, -0.11115774496140302
34, 0, 2, 2, 2, 0.0
35, 0, 2, 2, 3, -1.1113205535476647
36, 1, 0, 0, 0, -1.2213955732241197
37, 1, 0, 0, 1, -1.219751713515245
38, 1, 0, 0, 2, -1.2196228259786104
39, 1, 0, 0, 3, 0.0
40, 1, 0, 1, 0, 0.0
41, 1, 0, 1, 1, 0.0
42, 1, 0, 1, 2, 0.0
43, 1, 0, 1, 3, 0.0
44, 1, 0, 2, 0, 0.0
45, 1, 0, 2, 1, 0.0
46, 1, 0, 2, 2, 0.0
47, 1, 0, 2, 3, -1.5189347357766807
48, 1, 1, 0, 0, -1.6842820302354453
49, 1, 1, 0, 1, -1.6895267925564077
50, 1, 1, 0, 2, -1.6830885926414034
51, 1, 1, 0, 3, 0.0
52, 1, 1, 1, 0, 0.0
53, 1, 1, 1, 1, 0.0
54, 1, 1, 1, 2, 0.0
55, 1, 1, 1, 3, -0.20111111191529382
56, 1, 1, 2, 0, -0.11007502016284754
57, 1, 1, 2, 1, -0.19987226896482685
58, 1, 1, 2, 2, -0.191
59, 1, 1, 2, 3, -1.1072689809522738
60, 1, 2, 0, 0, -1.1066831536067658
61, 1, 2, 0, 1, -1.1067501534981232
62, 1, 2, 0, 2, -0.9743814177040664
63, 1, 2, 0, 3, -0.1
64, 1, 2, 1, 0, 9.206863289084808
65, 1, 2, 1, 1, 0.0
66, 1, 2, 1, 2, 0.0
67, 1, 2, 1, 3, -1.1127297381751453
68, 1, 2, 2, 0, -1.1136488842778343
69, 1, 2, 2, 1, -1.1135246909791725
70, 1, 2, 2, 2, -1.101492276389983
71, 1, 2, 2, 3, -1.2156652030038788
72, 2, 0, 0, 0, -1.2110947679799957
73, 2, 0, 0, 1, -1.1229530600457478
74, 2, 0, 0, 2, -1.1122495354383335
75, 2, 0, 0, 3, 0.0
76, 2, 0, 1, 0, 0.0
77, 2, 0, 1, 1, 0.0
78, 2, 0, 1, 2, 0.0
79, 2, 0, 1, 3, -0.826368617159831
80, 2, 0, 2, 0, -0.8466094114862387
81, 2, 0, 2, 1, -0.7964502366795966
82, 2, 0, 2, 2, -0.8044684593095655
83, 2, 0, 2, 3, -1.502871471945593
84, 2, 1, 0, 0, -1.5946082671193988
85, 2, 1, 0, 1, -1.6387558184234514
86, 2, 1, 0, 2, -1.5891938819794214
87, 2, 1, 0, 3, 0.0
88, 2, 1, 1, 0, 0.0
89, 2, 1, 1, 1, 0.0
90, 2, 1, 1, 2, 0.0
91, 2, 1, 1, 3, -0.3575519836243896
92, 2, 1, 2, 0, 2.037439722395188
93, 2, 1, 2, 1, -0.3491671
94, 2, 1, 2, 2, -0.38963876533388386
95, 2, 1, 2, 3, -0.271
96, 2, 2, 0, 0, 9.812711542948835
97, 2, 2, 0, 1, -0.19
98, 2, 2, 0, 2, -0.1
99, 2, 2, 0, 3, 5.539773970433937
100, 2, 2, 1, 0, 0.0
101, 2, 2, 1, 1, 0.0
102, 2, 2, 1, 2, 0.0
103, 2, 2, 1, 3, 0.0
104, 2, 2, 2, 0, 0.0
105, 2, 2, 2, 1, 0.0
106, 2, 2, 2, 2, 0.0
107, 2, 2, 2, 3, 0.0
