index, i0, i1,i2, i3, Q
0, 0, 0, 0, 0, 0.0
1, 0, 0, 0, 1, 0.0
2, 0, 0, 0, 2, 0.0
3, 0, 0, 0, 3, 0.0
4, 0, 0, 0, 4, -0.417742061
5, 0, 0, 0, 5, 0.0
6, 0, 0, 0, 6, 0.0
7, 0, 0, 1, 0, 0.0
8, 0, 0, 1, 1, 0.0
9, 0, 0, 1, 2, 0.0
10, 0, 0, 1, 3, 1.5630677992859003
11, 0, 0, 1, 4, 0.7673056958191941
12, 0, 0, 1, 5, 2.0
13, 0, 0, 1, 6, 0.0
14, 0, 0, 2, 0, 0.0
15, 0, 0, 2, 1, 0.0
16, 0, 0, 2, 2, 0.0
17, 0, 0, 2, 3, 0.0
18, 0, 0, 2, 4, 0.0
19, 0, 0, 2, 5, 0.0
20, 0, 0, 2, 6, 0.0
21, 0, 0, 3, 0, 0.0
22, 0, 0, 3, 1, 0.0
23, 0, 0, 3, 2, 0.0
24, 0, 0, 3, 3, 0.0
25, 0, 0, 3, 4, -1.1107774410582285
26, 0, 0, 3, 5, 0.0
27, 0, 0, 3, 6, 0.0
28, 0, 1, 0, 0, 0.0
29, 0, 1, 0, 1, 0.0
30, 0, 1, 0, 2, 0.0
31, 0, 1, 0, 3, 0.0
32, 0, 1, 0, 4, -0.9577812545826
33, 0, 1, 0, 5, 0.0
34, 0, 1, 0, 6, 0.0
35, 0, 1, 1, 0, 0.0
36, 0, 1, 1, 1, 0.0
37, 0, 1, 1, 2, 0.0
38, 0, 1, 1, 3, -0.48014527550999997
39, 0, 1, 1, 4, 0.06813124390600472
40, 0, 1, 1, 5, 0.0
41, 0, 1, 1, 6, 0.0
42, 0, 1, 2, 0, 0.0
43, 0, 1, 2, 1, 0.0
44, 0, 1, 2, 2, 0.0
45, 0, 1, 2, 3, 0.0
46, 0, 1, 2, 4, 0.0
47, 0, 1, 2, 5, 0.0
48, 0, 1, 2, 6, 0.0
49, 0, 1, 3, 0, 0.0
50, 0, 1, 3, 1, 0.0
51, 0, 1, 3, 2, 0.0
52, 0, 1, 3, 3, -0.3491671
53, 0, 1, 3, 4, -1.0807099858262434
54, 0, 1, 3, 5, 0.0
55, 0, 1, 3, 6, 0.0
56, 0, 2, 0, 0, 0.0
57, 0, 2, 0, 1, 0.0
58, 0, 2, 0, 2, 0.0
59, 0, 2, 0, 3, -0.191
60, 0, 2, 0, 4, -0.18820432117760838
61, 0, 2, 0, 5, -0.1
62, 0, 2, 0, 6, 0.0
63, 0, 2, 1, 0, 0.0
64, 0, 2, 1, 1, 0.0
65, 0, 2, 1, 2, 0.0
66, 0, 2, 1, 3, -0.7528050139848836
67, 0, 2, 1, 4, -1.0718292805082117
68, 0, 2, 1, 5, -0.27381
69, 0, 2, 1, 6, 0.0
70, 0, 2, 2, 0, 0.0
71, 0, 2, 2, 1, 0.0
72, 0, 2, 2, 2, 0.0
73, 0, 2, 2, 3, 0.0
74, 0, 2, 2, 4, 3.491671
75, 0, 2, 2, 5, 0.0
76, 0, 2, 2, 6, 0.0
77, 0, 2, 3, 0, 0.0
78, 0, 2, 3, 1, 0.0
79, 0, 2, 3, 2, 0.0
80, 0, 2, 3, 3, -0.1
81, 0, 2, 3, 4, -1.1101149607775072
82, 0, 2, 3, 5, -0.191
83, 0, 2, 3, 6, 0.0
84, 1, 0, 0, 0, 0.0
85, 1, 0, 0, 1, 0.0
86, 1, 0, 0, 2, 0.0
87, 1, 0, 0, 3, -0.417742061
88, 1, 0, 0, 4, -1.0330819245414165
89, 1, 0, 0, 5, 0.0
90, 1, 0, 0, 6, 0.0
91, 1, 0, 1, 0, 0.0
92, 1, 0, 1, 1, 0.0
93, 1, 0, 1, 2, 0.0
94, 1, 0, 1, 3, 0.34749088216299984
95, 1, 0, 1, 4, -1.0895284262516673
96, 1, 0, 1, 5, 2.7180698492585256
97, 1, 0, 1, 6, 0.0
98, 1, 0, 2, 0, 0.0
99, 1, 0, 2, 1, 0.0
100, 1, 0, 2, 2, 0.0
101, 1, 0, 2, 3, 0.0
102, 1, 0, 2, 4, 0.0
103, 1, 0, 2, 5, 0.0
104, 1, 0, 2, 6, 0.0
105, 1, 0, 3, 0, 0.0
106, 1, 0, 3, 1, 0.0
107, 1, 0, 3, 2, 0.0
108, 1, 0, 3, 3, 0.3001455779241067
109, 1, 0, 3, 4, 0.2634899898689431
110, 1, 0, 3, 5, -0.417742061
111, 1, 0, 3, 6, 0.0
112, 1, 1, 0, 0, 0.0
113, 1, 1, 0, 1, 0.0
114, 1, 1, 0, 2, 0.0
115, 1, 1, 0, 3, -0.27381
116, 1, 1, 0, 4, -0.8259662873310408
117, 1, 1, 0, 5, 0.0
118, 1, 1, 0, 6, 0.0
119, 1, 1, 1, 0, 0.0
120, 1, 1, 1, 1, 0.0
121, 1, 1, 1, 2, 0.0
122, 1, 1, 1, 3, 0.5922994827035193
123, 1, 1, 1, 4, 0.8860897483772657
124, 1, 1, 1, 5, -0.9076400957343104
125, 1, 1, 1, 6, 0.0
126, 1, 1, 2, 0, 0.0
127, 1, 1, 2, 1, 0.0
128, 1, 1, 2, 2, 0.0
129, 1, 1, 2, 3, 0.0
130, 1, 1, 2, 4, 0.0
131, 1, 1, 2, 5, 0.0
132, 1, 1, 2, 6, 0.0
133, 1, 1, 3, 0, 0.0
134, 1, 1, 3, 1, 0.0
135, 1, 1, 3, 2, 0.0
136, 1, 1, 3, 3, -0.8654028447461785
137, 1, 1, 3, 4, 0.8129275527450189
138, 1, 1, 3, 5, -0.5369322007141
139, 1, 1, 3, 6, 0.0
140, 1, 2, 0, 0, 0.0
141, 1, 2, 0, 1, 0.0
142, 1, 2, 0, 2, 0.0
143, 1, 2, 0, 3, -0.191
144, 1, 2, 0, 4, -1.111110607870586
145, 1, 2, 0, 5, -0.191
146, 1, 2, 0, 6, 0.0
147, 1, 2, 1, 0, 0.0
148, 1, 2, 1, 1, 0.0
149, 1, 2, 1, 2, 0.0
150, 1, 2, 1, 3, 0.05232248096338765
151, 1, 2, 1, 4, -0.18247605560483804
152, 1, 2, 1, 5, 1.4102433017732412
153, 1, 2, 1, 6, 0.0
154, 1, 2, 2, 0, 0.0
155, 1, 2, 2, 1, 0.0
156, 1, 2, 2, 2, 0.0
157, 1, 2, 2, 3, 0.0
158, 1, 2, 2, 4, 9.08760144372389
159, 1, 2, 2, 5, 0.0
160, 1, 2, 2, 6, 0.0
161, 1, 2, 3, 0, 0.0
162, 1, 2, 3, 1, 0.0
163, 1, 2, 3, 2, 0.0
164, 1, 2, 3, 3, -0.8875165887190224
165, 1, 2, 3, 4, -1.1111044185988277
166, 1, 2, 3, 5, -0.5369322007141
167, 1, 2, 3, 6, 0.0
168, 2, 0, 0, 0, 0.0
169, 2, 0, 0, 1, 0.0
170, 2, 0, 0, 2, 0.0
171, 2, 0, 0, 3, -0.588608302649831
172, 2, 0, 0, 4, -1.1091535399808405
173, 2, 0, 0, 5, -0.27381
174, 2, 0, 0, 6, 0.0
175, 2, 0, 1, 0, 0.0
176, 2, 0, 1, 1, 0.0
177, 2, 0, 1, 2, 0.0
178, 2, 0, 1, 3, -0.11053248672089178
179, 2, 0, 1, 4, 0.39320046537041997
180, 2, 0, 1, 5, -0.5995784378576978
181, 2, 0, 1, 6, 0.0
182, 2, 0, 2, 0, 0.0
